time	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	
0	1.0653356E7	434950.56	82098.73	8782.802	8956.071	1068.7064	119154.125	13175.177	117355.77	13145.768	124511.09	12289.453	114276.45	124550.32	12707.653	108739.62	12573.124	596319.1	58321.977	628142.8	67972.1	114810.06	13272.187	119926.75	13868.197	116546.34	13936.205	113604.53	12325.96	115576.4	115410.086	119120.72	
2	9283035.0	466940.34	5.6526732	85603.336	10455.538	1266.7512	69059.375	60848.477	124484.85	13254.597	121490.45	15016.857	108956.805	118455.69	8229.748	132491.52	4.370262	569331.56	103905.61	579323.1	114904.414	54009.56	74287.08	130492.2	13974.704	94193.21	39509.688	125016.25	5214.6978	117439.51	107878.74	125587.46	
5	9770485.0	474649.06	5.599985	104492.54	10606.437	1534.4255	63571.996	69002.62	117777.83	13363.019	113944.62	14556.992	119506.914	133919.64	5058.6045	135036.25	7.032225	539935.94	110936.164	421206.06	210388.39	13286.477	109443.266	121085.336	12612.193	44889.99	82729.97	129853.484	8982.139	113812.24	110792.34	120591.24	
10	8298002.5	445543.97	5.80148	91987.21	9742.739	1674.175	61178.254	68420.64	129428.914	12757.832	119194.59	13685.765	113196.74	136677.8	2374.4712	131497.8	10.725895	557406.06	121730.47	327745.44	331681.3	1140.2828	132274.98	121871.69	13461.711	15148.817	129600.28	119378.15	13699.625	120017.555	121623.586	123130.61	
20	9832118.0	414433.72	5.3996744	100468.69	8850.208	2077.1438	60552.6	69648.77	119772.84	15509.8	127907.84	14982.71	112746.55	123261.586	1609.1954	133071.39	13.321906	599231.7	99082.06	244025.42	432160.56	11.552426	135843.2	123625.26	15681.55	148.23369	118100.97	120309.805	16499.195	120502.18	116228.984	118318.625	
30	9510659.0	457190.9	5.5684857	107587.734	8351.007	2624.8906	55516.31	67999.09	115827.82	16139.278	111115.12	14654.43	114391.57	121239.9	1298.7368	143004.3	14.107765	597876.8	76632.82	223999.75	427157.62	0.16335912	137831.94	116167.7	16918.84	0.0013482672	126988.85	120803.266	16828.56	119518.76	112842.55	112725.45	
40	9814103.0	415518.84	5.6718855	108071.42	7660.5146	3322.1162	56720.258	69291.92	116348.46	16494.508	120697.97	15034.622	122403.76	136014.64	1115.0944	144274.83	12.708656	595096.44	59725.07	232739.92	368217.03	0.0032807374	131659.69	111172.1	15243.724	6.8831835E-10	136206.0	111096.664	17046.064	122690.75	119542.17	119726.78	
50	9623836.0	444241.7	5.375142	99083.516	7441.3887	3542.5884	61230.03	81064.11	111214.97	18334.006	119053.11	14467.99	126691.484	122197.47	1134.5242	145141.6	12.823237	607707.0	57538.95	286446.34	398555.78	8.002983E-5	134182.45	112924.89	18996.025	1.4840217E-17	133106.0	121379.56	16557.652	120522.766	115642.68	133335.3	
60	9474587.0	420696.34	5.21757	100213.555	7120.388	4217.94	54741.82	80472.88	111855.16	19008.791	117862.09	15782.698	123616.74	127682.54	1182.6744	133952.39	13.965598	655859.1	48962.816	275641.38	351141.5	2.2562524E-6	126606.24	113362.69	20091.59	1.2861517E-26	133788.62	116926.67	15988.767	115441.45	115164.805	122674.45	
80	1.0352727E7	457863.06	5.500439	97812.2	6023.2114	4934.7466	60164.12	77374.586	108041.89	22438.055	120377.2	15819.62	117539.82	132476.75	1022.13617	130522.21	13.382144	617833.5	42971.387	328168.56	347179.47	2.072167E-9	129340.6	96244.086	21736.87	0.0	139931.16	116784.77	17958.627	112245.74	107477.29	114551.05	
100	9035833.0	433215.3	5.7022758	90693.73	5573.679	5104.683	56398.312	81946.46	106647.984	21800.605	116871.37	14817.041	122675.52	127446.164	902.962	137617.8	13.330288	638009.2	36720.305	333001.5	310459.9	2.516497E-12	145877.36	115977.6	23365.879	0.0	140731.4	120798.17	16739.668	117852.76	108396.875	117626.26	
