time,N,A
0,1584.893192461114,4168.693834703355
10000,503.8447000499328,3491.017873980407
20000,312.0685968865003,2734.5884613603835
30000,340.9060283437699,2143.2165997413563
40000,381.3805740627791,1696.110558143805
50000,420.4390534246188,1357.3227487323227
60000,456.8807371061682,1099.481805945143
70000,490.97229957134005,902.4198069307034
80000,523.5604129152879,751.2753008362646
90000,555.9874994710538,635.0533587025653
100000,590.3410193720456,545.591225341951
110000,630.3057896095859,476.83726856907555
120000,683.853955173615,424.39015055212235
130000,773.8576511221248,385.36577271464324
140000,1003.6319825842528,359.324437418111
150000,2332.8189690181393,359.5135472235248
160000,4951.6942282531445,461.6695938902791
170000,5338.269717519153,665.6536072250071
180000,5271.929490387358,942.8979173629244
190000,5095.141475328852,1293.8241661952122
200000,4817.27200240714,1711.4415177739459
210000,4442.83094282422,2166.9566108673125
220000,4010.310524368906,2610.336586570781
230000,3576.72163482768,2987.2953134222835
240000,3187.8463849956424,3260.334508724361
250000,2867.861618177449,3418.2566347397114
260000,2627.795558941864,3473.2755559466564
270000,2476.2086045453675,3453.4632770274784
280000,2422.0691975773448,3395.512715678341
290000,2462.718125853583,3337.4428850348404
300000,2559.6679112339716,3307.7976339321544
310000,2644.1592138171823,3313.511482593433
320000,2672.8487472133497,3340.171134581618
330000,2652.881086282617,3367.4643348176555
340000,2613.2766886961517,3382.6294563642577
350000,2578.8621449407433,3383.3471218663267
360000,2562.5978928189406,3374.504897136601
370000,2565.657129315881,3363.522881699067
380000,2580.3271532702606,3356.312603811902
390000,2595.699099347109,3355.0363336487753
400000,2604.0546200436625,3358.2671710000045
