Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,
0,0.009004,0.000077,0.379509,0.041027,0.001134,0.179268,1.033072,0.013636,0.034107,0.004328,45.365346,0.001303,4.828859,0.007468,0.000000,0.089851,0.036979,0.090065,0.377644,0.293651,0.000161,0.004749,8.999913,1.058653,0.080922,0.000289,0.000000,0.004660,0.332758,0.001346,0.000009,0.000000,0.624349,0.051437,0.000154,0.000972,0.000002,1.823445,0.036784,0.001930,0.607427,0.000209,0.000000,0.000044,0.000049,0.000122,0.000116,0.000004,0.004245,0.007909,0.053486,0.066614,3.935697,0.000714,0.000228,0.000113,0.085144,17.802793,143.720786,0.019114,0.020020,0.574495,0.449138,0.089184,0.001024,0.009144,0.449280,0.014509,0.002986,0.013620,0.000938,0.448357,0.001861,0.004918,0.007758,0.000369,0.000754,0.707113,0.002782,0.001145,0.000654,0.002361,0.001815,0.000613,0.001877,0.001033,0.000000,0.000143,0.000000,0.000290,0.000010,0.000068,0.000507,0.002497,0.007451,3565.301454,0.000903,0.004303,0.000036,0.104712,0.000671,0.072489,0.139327,0.621545,0.450212,0.131630,0.015345,0.190193,2.110084,0.364064,0.034030,0.000052,-0.000198,-0.000000,0.007447,0.012989,0.001337,0.002261,0.004490,-0.000463,0.229584,0.531129,0.160195,0.022780,0.000505,0.009989,-1.476405,0.223053,-0.000003,-0.000331,-0.005679,0.082163,4.478027,0.266795,0.697762,0.090117,2.199967,0.189272,0.000180,0.002016,0.000003,0.021369,-0.033281,0.003434,0.002280,0.002422,0.157166,457.983599,28.296472,0.000057,0.000000,0.000044,0.000012,-0.004132,0.009269,0.324695,1.705696,0.002047,0.000148,0.000129,0.000011,0.000219,-0.000567,0.004431,0.000016,0.000686,-0.000149,0.000500,0.000508,0.002291,0.001898,0.005168,0.022010,0.006848,0.000467,0.000062,0.027723,0.720227,0.011113,0.000283,0.001606,0.000003,1.819706,0.134291,0.000051,0.000890,0.000012,0.751843,0.000002,0.000039,0.031672,2.811316,0.033884,0.024034,0.924935,-1.242857,4.554177,3.177118,0.002199,-0.004075,
1,0.008465,0.000614,0.360399,0.059598,0.008843,0.179575,2.647669,0.013824,0.038188,0.004021,45.361105,0.001103,4.833100,0.007465,0.000003,0.085564,0.008623,0.089958,1.723304,0.345854,0.000267,0.008257,7.338700,1.378492,0.075962,0.001322,0.000000,0.000940,0.375915,0.009121,0.000058,0.000000,0.603611,0.039578,0.000538,0.001283,0.000002,2.070515,0.042489,0.002761,0.129725,0.000476,0.000000,0.000063,0.000053,0.000342,0.001010,0.000004,0.039719,0.051829,0.000011,0.069856,3.998584,0.007593,0.001157,0.000639,0.106563,17.747351,143.647086,0.021248,0.022114,0.554802,0.419553,0.027004,0.004354,0.012397,0.443816,0.014810,0.001567,0.013795,0.004200,0.443000,0.001113,0.034498,0.070014,0.000228,0.001520,0.581812,0.023048,0.000579,0.002054,0.004768,0.017342,0.002419,0.016350,0.004461,0.000000,0.000076,0.000001,0.000500,0.000031,0.000206,0.002358,0.015844,0.007451,3565.430116,0.000903,0.003304,0.000238,0.329464,0.004822,0.062762,0.166314,0.472713,0.477135,0.001445,0.001937,0.009225,0.157386,0.008851,0.008661,0.000123,0.000287,0.000000,0.022752,0.079684,0.002618,0.001153,0.005116,-0.005215,0.032259,0.077370,0.018570,0.177208,0.000250,0.013384,0.029220,0.001987,0.000001,0.000353,-0.095554,0.039762,0.345059,0.266802,0.009854,0.013090,0.061075,0.058983,0.000832,0.001964,0.000004,0.167907,0.001181,0.003418,0.008968,0.009003,0.000017,0.004004,0.001508,0.000319,0.000001,0.000338,0.000305,0.003591,0.070068,0.618807,0.228321,0.002107,0.000037,0.000320,0.000791,0.001209,0.000237,0.001448,0.000000,0.000441,0.000233,0.003854,0.003933,0.003027,0.001552,0.043870,0.109909,0.010433,0.003904,0.000056,0.092208,0.620759,0.066495,0.000859,0.002147,0.000004,2.066630,0.423929,0.000257,0.003843,0.000053,0.848430,0.000003,0.000021,0.227714,0.178843,0.009072,0.106206,0.128100,0.044841,0.289621,0.143001,0.002800,0.004235,
2,0.008494,0.000586,0.342633,0.077393,0.009939,0.179189,4.333066,0.014062,0.048647,0.004406,45.350453,0.001646,4.843752,0.007465,0.000004,0.081117,0.008729,0.089859,2.733422,0.341425,0.000367,0.011300,5.665872,2.046736,0.071550,0.001900,0.000000,0.001068,0.393219,0.010477,0.000076,0.000000,0.596300,0.043793,0.000898,0.001832,0.000004,2.195652,0.045092,0.004913,0.091287,0.000871,0.000000,0.000073,0.000057,0.000608,0.001175,0.000011,0.022626,0.068639,0.000019,0.073503,4.015742,0.007720,0.001128,0.000476,0.111905,17.721056,143.563944,0.026597,0.027403,0.542346,0.414205,0.026639,0.007410,0.016266,0.435411,0.015191,0.002665,0.014023,0.007147,0.434765,0.001705,0.039845,0.070381,0.000250,0.001732,0.559998,0.022153,0.000644,0.002032,0.004843,0.015727,0.002299,0.016214,0.004792,0.000000,0.000105,0.000001,0.000716,0.000051,0.000355,0.002522,0.017708,0.007451,3565.590646,0.000903,0.005474,0.000281,0.237122,0.006141,0.053369,0.184040,0.448331,0.503874,0.001447,0.002131,0.009547,0.142847,0.008510,0.009300,0.000194,0.000399,0.000001,0.024724,0.078907,0.003967,0.001281,0.006817,-0.006907,0.030853,0.083091,0.018330,0.161692,0.000138,-0.001024,0.000866,0.000816,0.000001,0.000444,-0.042710,0.039951,0.344869,0.266812,0.009932,0.014947,0.060483,0.065258,0.001347,0.002797,0.000006,0.152785,0.001313,0.003557,0.008527,0.009770,0.000049,0.004546,0.002547,0.000238,0.000001,0.000438,0.000212,0.002312,0.069099,0.520022,0.290078,0.002289,0.000427,0.000414,0.001305,0.001924,0.000447,0.002695,-0.000000,0.000278,0.000208,0.004225,0.004312,0.004944,0.002280,0.042714,0.114236,0.010703,0.004577,0.000067,0.099804,0.526894,0.073796,0.001472,0.003062,0.000006,2.192574,0.306767,0.000330,0.006510,0.000077,0.816280,0.000004,0.000035,0.289458,0.164483,0.009894,0.108880,0.132183,0.000796,0.342555,0.150620,0.004150,0.002963,
3,0.008522,0.000558,0.325709,0.094344,0.009925,0.178075,5.903818,0.014358,0.062740,0.005520,45.336110,0.002363,4.858095,0.007466,0.000002,0.075179,0.008777,0.089760,3.352243,0.301560,0.000466,0.014348,4.149161,2.955570,0.067065,0.002165,0.000000,0.001265,0.373734,0.009886,0.000075,0.000000,0.592771,0.045449,0.001096,0.002437,0.000005,2.253589,0.046299,0.007757,0.073208,0.001233,0.000000,0.000081,0.000061,0.000771,0.001147,0.000020,0.017541,0.073606,0.000023,0.079068,3.999049,0.007728,0.001156,0.000447,0.106475,17.737509,143.508277,0.033811,0.034513,0.551914,0.416249,0.028168,0.008732,0.021940,0.426875,0.015714,0.003683,0.014351,0.008401,0.426400,0.002748,0.037802,0.068849,0.000301,0.002038,0.569965,0.020997,0.000732,0.002036,0.005203,0.014973,0.002324,0.016045,0.005307,0.000000,0.000145,0.000002,0.000946,0.000065,0.000438,0.002695,0.018381,0.007451,3565.743148,0.000903,0.008547,0.000287,0.192690,0.006932,0.038500,0.184427,0.421727,0.531544,0.001501,0.002582,0.010355,0.135952,0.008657,0.009898,0.000241,0.000544,0.000001,0.027369,0.078278,0.005128,0.001457,0.007368,-0.007407,0.029074,0.091962,0.018356,0.154602,-0.000077,-0.008658,-0.016009,-0.000214,0.000001,0.000409,-0.022862,0.034951,0.336118,0.266823,0.009903,0.017633,0.059856,0.067007,0.001604,0.003652,0.000008,0.146374,0.001502,0.004028,0.008623,0.010588,0.000081,0.004395,0.003152,0.000223,0.000001,0.000414,0.000080,0.000184,0.068551,0.371235,0.325888,0.002598,0.000785,0.000514,0.001486,0.002009,0.000621,0.003322,-0.000001,0.000159,0.000166,0.004123,0.004207,0.006542,0.003343,0.041115,0.121392,0.011571,0.004502,0.000088,0.111673,0.378899,0.076826,0.001818,0.004069,0.000009,2.251101,0.249736,0.000369,0.007635,0.000087,0.704543,0.000005,0.000049,0.325756,0.159048,0.010684,0.112232,0.139353,-0.024958,0.348617,0.154398,0.005265,0.000679,
4,0.008548,0.000532,0.309592,0.110488,0.009708,0.176290,7.224843,0.014720,0.078065,0.007305,45.320467,0.003262,4.873738,0.007467,0.000001,0.068863,0.008802,0.089659,3.578486,0.241299,0.000566,0.017434,2.902559,3.986895,0.062438,0.002217,0.000000,0.001537,0.335408,0.008085,0.000056,0.000000,0.593532,0.044398,0.001117,0.002932,0.000007,2.287672,0.047007,0.010667,0.062507,0.001521,0.000001,0.000087,0.000066,0.000875,0.001079,0.000027,0.016005,0.075077,0.000026,0.087022,3.966323,0.007684,0.001210,0.000465,0.095332,17.778503,143.497570,0.041688,0.042255,0.571511,0.422376,0.030707,0.009082,0.028204,0.418647,0.016401,0.004609,0.014814,0.008723,0.418336,0.004224,0.031676,0.066307,0.000383,0.002452,0.594346,0.019573,0.000857,0.002054,0.005755,0.014390,0.002424,0.015931,0.005926,0.000000,0.000187,0.000003,0.001126,0.000071,0.000445,0.002780,0.017845,0.007451,3565.874033,0.000903,0.011942,0.000270,0.165366,0.006631,0.024746,0.174029,0.390813,0.563221,0.001580,0.003286,0.011500,0.130537,0.009059,0.010149,0.000257,0.000688,0.000002,0.030860,0.077992,0.005833,0.001705,0.007526,-0.007555,0.026928,0.102588,0.018510,0.149341,-0.000325,-0.011325,-0.023243,-0.000736,0.000001,0.000288,-0.016119,0.027771,0.322785,0.266834,0.009828,0.021236,0.059447,0.064510,0.001596,0.004298,0.000010,0.142024,0.001767,0.004787,0.008998,0.011057,0.000109,0.004131,0.003547,0.000233,0.000001,0.000297,-0.000037,-0.001564,0.068486,0.236514,0.310057,0.002817,0.001126,0.000613,0.001385,0.001751,0.000760,0.003478,-0.000000,0.000077,0.000109,0.003949,0.004029,0.008151,0.004782,0.039107,0.129967,0.012879,0.004272,0.000118,0.126506,0.242694,0.075150,0.001864,0.004894,0.000012,2.285607,0.214423,0.000380,0.007915,0.000089,0.553005,0.000006,0.000061,0.310468,0.155962,0.011095,0.116389,0.147996,-0.035629,0.334726,0.155022,0.005904,-0.001303,
5,0.008573,0.000507,0.294248,0.125858,0.009447,0.173909,8.239740,0.015152,0.093452,0.009686,45.304693,0.004301,4.889512,0.007468,0.000000,0.062768,0.008821,0.089562,3.480301,0.177396,0.000663,0.020405,1.962759,5.033406,0.057830,0.002137,0.000000,0.001884,0.294911,0.006262,0.000038,0.000000,0.597292,0.041552,0.001019,0.003265,0.000008,2.313606,0.047541,0.013171,0.054442,0.001707,0.000001,0.000093,0.000070,0.000957,0.001008,0.000032,0.015524,0.075497,0.000028,0.097318,3.924497,0.007616,0.001279,0.000508,0.083531,17.824780,143.515993,0.049634,0.050052,0.592943,0.428981,0.033620,0.008991,0.034379,0.410792,0.017256,0.005524,0.015429,0.008628,0.410635,0.006023,0.025072,0.063390,0.000496,0.002970,0.626168,0.017933,0.001022,0.002068,0.006451,0.013735,0.002569,0.015861,0.006565,0.000001,0.000223,0.000003,0.001238,0.000069,0.000403,0.002766,0.016532,0.007451,3565.976669,0.000903,0.015040,0.000234,0.144283,0.005491,0.014790,0.158822,0.356210,0.598671,0.001674,0.004264,0.012906,0.124486,0.009615,0.010049,0.000247,0.000811,0.000002,0.035221,0.077841,0.006100,0.002031,0.007565,-0.007598,0.024518,0.113499,0.018631,0.143466,-0.000488,-0.010655,-0.022057,-0.000715,0.000000,0.000183,-0.013178,0.021689,0.308046,0.266843,0.009729,0.025735,0.059183,0.059449,0.001424,0.004690,0.000011,0.137366,0.002113,0.005836,0.009536,0.011118,0.000129,0.003856,0.003865,0.000254,0.000000,0.000190,-0.000096,-0.002464,0.068749,0.140577,0.255345,0.002914,0.001416,0.000706,0.001096,0.001402,0.000852,0.003411,-0.000000,0.000023,0.000048,0.003768,0.003842,0.009895,0.006537,0.036781,0.138565,0.014546,0.004019,0.000157,0.142840,0.144754,0.070287,0.001701,0.005443,0.000013,2.311853,0.187152,0.000365,0.007819,0.000086,0.400590,0.000008,0.000073,0.256034,0.152946,0.011109,0.121193,0.156616,-0.033915,0.316741,0.154097,0.006126,-0.002370,
6,0.008598,0.000483,0.279642,0.140489,0.009176,0.171099,8.963746,0.015651,0.108399,0.012496,45.289290,0.005380,4.904915,0.007468,0.000000,0.057132,0.008833,0.089473,3.165921,0.122415,0.000752,0.023149,1.301423,6.014943,0.053402,0.001981,0.000000,0.002299,0.261695,0.004926,0.000027,0.000000,0.602260,0.038047,0.000876,0.003478,0.000008,2.335232,0.047985,0.014992,0.047822,0.001787,0.000001,0.000097,0.000075,0.001030,0.000940,0.000036,0.015360,0.075590,0.000029,0.110097,3.874820,0.007525,0.001358,0.000568,0.073902,17.864502,143.544450,0.057393,0.057660,0.611223,0.434115,0.036332,0.008714,0.040171,0.403310,0.018272,0.006476,0.016198,0.008360,0.403295,0.007922,0.019939,0.060675,0.000644,0.003574,0.663558,0.016183,0.001230,0.002076,0.007263,0.013002,0.002745,0.015789,0.007146,0.000001,0.000254,0.000003,0.001301,0.000063,0.000342,0.002697,0.014937,0.007451,3566.050620,0.000903,0.017491,0.000191,0.126957,0.004099,0.008571,0.143830,0.320261,0.635570,0.001780,0.005533,0.014523,0.117800,0.010281,0.009772,0.000224,0.000919,0.000002,0.040285,0.077632,0.006114,0.002442,0.007568,-0.007607,0.022018,0.123370,0.018705,0.136876,-0.000499,-0.008389,-0.017455,-0.000533,0.000000,0.000117,-0.010801,0.017512,0.294681,0.266849,0.009598,0.030952,0.058887,0.053587,0.001202,0.004903,0.000012,0.132266,0.002546,0.007188,0.010188,0.010943,0.000143,0.003598,0.004149,0.000284,0.000000,0.000122,-0.000107,-0.002605,0.069117,0.081319,0.189593,0.002916,0.001600,0.000791,0.000718,0.001106,0.000889,0.003249,-0.000000,-0.000010,-0.000004,0.003591,0.003661,0.011659,0.008421,0.034287,0.146002,0.016522,0.003772,0.000200,0.159188,0.083908,0.064202,0.001460,0.005785,0.000014,2.333700,0.164756,0.000337,0.007569,0.000080,0.273955,0.000009,0.000086,0.190277,0.149916,0.010917,0.126473,0.164055,-0.026877,0.301510,0.153024,0.006117,-0.002590,
7,0.008621,0.000459,0.265742,0.154412,0.008901,0.168109,9.454679,0.016215,0.122713,0.015486,45.274453,0.006405,4.919752,0.007469,0.000000,0.052029,0.008825,0.089392,2.745223,0.081401,0.000833,0.025633,0.856380,6.884556,0.049258,0.001790,0.000000,0.002761,0.237521,0.004046,0.000020,0.000000,0.607136,0.034698,0.000738,0.003618,0.000008,2.353010,0.048349,0.016041,0.042501,0.001778,0.000001,0.000102,0.000079,0.001095,0.000881,0.000038,0.015292,0.075575,0.000031,0.125719,3.816881,0.007404,0.001444,0.000641,0.066929,17.894591,143.573114,0.064863,0.064981,0.624652,0.437606,0.038530,0.008367,0.045465,0.396187,0.019440,0.007483,0.017107,0.008026,0.396307,0.009717,0.016448,0.058476,0.000825,0.004225,0.706162,0.014455,0.001484,0.002091,0.008161,0.012277,0.002945,0.015676,0.007620,0.000001,0.000281,0.000003,0.001331,0.000057,0.000283,0.002621,0.013401,0.007451,3566.099968,0.000903,0.019327,0.000151,0.113120,0.002876,0.004972,0.131613,0.285864,0.670869,0.001893,0.007084,0.016287,0.111264,0.011034,0.009491,0.000200,0.001018,0.000002,0.045709,0.077332,0.006018,0.002942,0.007562,-0.007605,0.019615,0.131398,0.018845,0.130444,-0.000395,-0.005982,-0.012762,-0.000366,0.000000,0.000079,-0.008483,0.014804,0.284064,0.266854,0.009422,0.036547,0.058428,0.048071,0.000995,0.005006,0.000012,0.127432,0.003070,0.008834,0.010930,0.010733,0.000149,0.003375,0.004401,0.000321,0.000000,0.000081,-0.000094,-0.002312,0.069426,0.047223,0.132425,0.002855,0.001658,0.000866,0.000335,0.000906,0.000875,0.003050,-0.000000,-0.000028,-0.000041,0.003420,0.003487,0.013289,0.010235,0.031794,0.151644,0.018752,0.003551,0.000244,0.174393,0.048816,0.058316,0.001225,0.006000,0.000014,2.351633,0.146880,0.000303,0.007262,0.000072,0.181530,0.000009,0.000099,0.132969,0.147562,0.010711,0.132001,0.169814,-0.019505,0.290464,0.152467,0.006013,-0.002325,
8,0.008643,0.000437,0.252517,0.167659,0.008626,0.165171,9.778913,0.016842,0.136329,0.018425,45.260251,0.007330,4.933954,0.007469,0.000000,0.047464,0.008788,0.089320,2.301448,0.053330,0.000905,0.027865,0.563209,7.624275,0.045454,0.001590,0.000000,0.003242,0.220711,0.003478,0.000016,0.000000,0.611308,0.031882,0.000624,0.003716,0.000009,2.367168,0.048638,0.016366,0.038404,0.001705,0.000001,0.000106,0.000084,0.001150,0.000833,0.000038,0.015257,0.075521,0.000032,0.144496,3.750945,0.007243,0.001534,0.000722,0.062097,17.916239,143.599103,0.072008,0.071985,0.633661,0.439896,0.040177,0.007999,0.050230,0.389410,0.020750,0.008554,0.018141,0.007674,0.389655,0.011315,0.014159,0.056828,0.001034,0.004876,0.753216,0.012864,0.001784,0.002126,0.009106,0.011645,0.003164,0.015509,0.007977,0.000001,0.000308,0.000003,0.001343,0.000051,0.000235,0.002566,0.012082,0.007451,3566.130362,0.000903,0.020760,0.000118,0.102536,0.001958,0.002935,0.122543,0.255354,0.702058,0.002007,0.008872,0.018125,0.105627,0.011851,0.009298,0.000180,0.001114,0.000003,0.051063,0.077018,0.005885,0.003533,0.007554,-0.007600,0.017456,0.137431,0.019182,0.125068,-0.000252,-0.004077,-0.009071,-0.000247,0.000000,0.000055,-0.006408,0.013039,0.276223,0.266857,0.009194,0.042096,0.057763,0.043384,0.000826,0.005039,0.000012,0.123557,0.003683,0.010725,0.011740,0.010601,0.000149,0.003195,0.004616,0.000361,0.000000,0.000057,-0.000074,-0.001872,0.069599,0.027943,0.089823,0.002757,0.001618,0.000934,0.000001,0.000787,0.000820,0.002841,-0.000000,-0.000036,-0.000064,0.003257,0.003320,0.014716,0.011874,0.029450,0.155483,0.021167,0.003366,0.000287,0.187820,0.028977,0.053299,0.001030,0.006138,0.000014,2.365901,0.133214,0.000270,0.006939,0.000064,0.118915,0.000010,0.000113,0.090211,0.146482,0.010594,0.137499,0.174023,-0.013647,0.282910,0.152436,0.005877,-0.001889,
9,0.008664,0.000416,0.239936,0.180261,0.008353,0.162431,9.991203,0.017527,0.149239,0.021164,45.246695,0.008153,4.947510,0.007469,0.000000,0.043415,0.008718,0.089255,1.884276,0.034871,0.000970,0.029869,0.371208,8.235693,0.042018,0.001395,0.000000,0.003713,0.209130,0.003106,0.000013,0.000000,0.614632,0.029676,0.000537,0.003789,0.000009,2.378221,0.048864,0.016093,0.035355,0.001592,0.000001,0.000109,0.000088,0.001196,0.000796,0.000037,0.015235,0.075452,0.000034,0.166479,3.678571,0.007046,0.001621,0.000804,0.058773,17.931559,143.622359,0.078822,0.078666,0.639356,0.441405,0.041366,0.007631,0.054473,0.382964,0.022189,0.009684,0.019288,0.007322,0.383327,0.012715,0.012650,0.055637,0.001262,0.005479,0.803112,0.011481,0.002128,0.002192,0.010059,0.011151,0.003392,0.015290,0.008235,0.000001,0.000334,0.000003,0.001341,0.000046,0.000197,0.002541,0.011010,0.007451,3566.146951,0.000903,0.021976,0.000092,0.094702,0.001318,0.001769,0.116047,0.229903,0.727858,0.002117,0.010818,0.019958,0.101271,0.012701,0.009216,0.000164,0.001208,0.000003,0.055954,0.076793,0.005745,0.004210,0.007548,-0.007593,0.015617,0.141772,0.019801,0.121241,-0.000116,-0.002739,-0.006402,-0.000166,0.000000,0.000041,-0.004718,0.011865,0.270618,0.266858,0.008923,0.047208,0.056912,0.039599,0.000696,0.005029,0.000012,0.120966,0.004381,0.012775,0.012588,0.010582,0.000144,0.003058,0.004793,0.000402,0.000000,0.000042,-0.000056,-0.001440,0.069618,0.016901,0.060232,0.002638,0.001525,0.000995,-0.000260,0.000715,0.000739,0.002635,-0.000000,-0.000038,-0.000075,0.003101,0.003160,0.015948,0.013319,0.027354,0.157914,0.023683,0.003218,0.000326,0.199288,0.017630,0.049298,0.000878,0.006227,0.000015,2.377037,0.123103,0.000238,0.006618,0.000056,0.077838,0.000011,0.000128,0.060497,0.146865,0.010591,0.142701,0.177146,-0.009422,0.277806,0.152642,0.005737,-0.001454,
