Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,
0,9901980.0,451440.0,79200.0,8800.0,9900.0,1100.0,118800.0,13200.0,118800.0,13200.0,118800.0,13200.0,118800.0,118800.0,13200.0,118800.0,13200.0,594000.0,66000.0,594000.0,66000.0,118800.0,13200.0,118800.0,13200.0,118800.0,13200.0,118800.0,13200.0,118800.0,118800.0,118800.0,
1,9815355.169470303,451384.3950789028,8800.0,79200.0,9844.768073729514,1160.7312089727425,72511.57147826087,59459.00591304348,118780.25695294036,13220.797287436606,115572.11795469855,13636.48453854679,118800.0,118794.61140256403,13200.210193517007,118800.0,13200.0,575236.1600275905,84486.96444757124,569915.862667901,89904.24072045635,86484.4355468481,46150.60823739858,118778.1825299305,13222.104542044084,104082.18327883355,27911.500061629486,118697.01957650819,13200.0,118800.0,118800.0,118800.0,
2,9815355.169470303,451332.8267376984,8800.0,79200.0,9790.380440318115,1219.9466983442537,67629.96174553633,61128.42836851273,118750.39361999357,13249.68317625298,114416.62456923666,14424.914219424756,118800.0,118786.44076679881,13200.46540512701,118800.0,13200.0,560430.3800291895,98370.6543365021,538278.6261455722,120816.97736415187,57782.41310067909,74552.09721527409,118733.41205211057,13274.352017932313,88829.90219971605,42864.865063034806,118481.84039137325,13200.0,118800.0,118800.0,118800.0,
3,9815355.169470303,451273.2367420974,8800.0,79200.0,9735.865695622482,1280.8361661851313,69791.53792498528,60711.84794184903,118715.92660247633,13288.676284409003,114246.42790494404,14062.293021403173,118800.0,118776.96357001484,13201.58905930902,118800.0,13200.0,549091.4386609507,108850.64313245621,503057.65058630187,155756.23973716225,37736.98375042002,95141.2588884355,118662.23516408994,13347.401261804214,73057.27267606827,58588.98577880314,118129.81992738432,13200.0,118800.0,118800.0,118800.0,
4,9815355.169470303,451205.9583637521,8800.0,79200.0,9680.067628478797,1340.5402795593182,68653.17667652151,60441.28825823531,118674.09089825337,13336.007290899657,114177.14034020843,13727.770183273551,118800.0,118770.24642572345,13202.597588755445,118800.0,13200.0,541050.5618571134,116430.41425936404,471036.00520934316,188695.85481242283,22205.629527289246,108287.16001786367,118578.23837201615,13440.863504035435,57274.0630817294,74961.81088613484,117622.55162593293,13200.1029439842,118800.0,118800.0,118800.0,
5,9815355.169470303,451153.6665214216,8800.0,79200.0,9623.92651695887,1399.322956762105,69527.94207011051,61071.99080212677,118621.21252888945,13393.225351781954,114114.99721539047,13568.598682455824,118800.0,118766.046397061,13203.149557340288,118800.0,13200.0,536187.0371523289,121046.09486556427,438961.59497222677,220719.96452784722,14733.304726766542,114848.28886128566,118480.96576485217,13544.452522627176,43932.70936521213,91403.30081510637,117000.05539703771,13204.524244956263,118800.0,118800.0,118800.0,
6,9815355.169470303,451104.4808259711,8800.0,79200.0,9568.104356687985,1458.2203458756182,68685.15056165653,61724.61738355542,118566.7908197248,13454.359267302174,114076.47760056876,13474.352955406663,118800.0,118763.1451232561,13203.600438859681,118800.0,13200.0,533845.0076714489,122842.90488361062,405235.45094147837,253158.56977648946,13368.829072558456,117313.58619448126,118382.57408322715,13654.224370864045,34258.09495419353,106135.6791906117,116334.66669113131,13227.031477231963,118800.0,118800.0,118800.0,
7,9815355.169470303,451051.49336388113,8800.0,79200.0,9510.985385783319,1515.7918232255554,69067.59645846937,62321.80538526474,118500.29686437077,13531.113548624176,114048.39145560327,13416.700109756466,118800.0,118760.68849348098,13203.842338863027,118800.0,13200.0,533471.2618558466,122614.6873728589,374386.96285674075,283352.31608259765,13223.279305547747,118228.69870055004,118282.22011125293,13764.220034992857,27770.539750127413,114430.76348598843,115740.66958389102,13271.489425212209,118800.0,118800.0,118800.0,
8,9815355.169470303,450993.71628259507,8800.0,79200.0,9454.695067242634,1574.0198409528248,68360.03455568274,62829.23913600982,118422.86424888027,13609.427305486295,114023.28793043498,13377.545774839271,118800.0,118758.32508940485,13203.963358896388,118800.0,13200.0,534500.3254422264,120835.94194684157,348581.439668535,309285.6164160247,13202.890963224992,118575.55552131543,118179.99398918441,13871.834965830718,22917.084323305964,117539.15795045049,115278.63171619292,13331.124451742915,118800.0,118800.0,118800.0,
9,9815355.169470303,450950.3831673219,8800.0,79200.0,9397.944949865594,1631.2771476166045,68408.1717608313,63289.443639484736,118338.65680941143,13690.556852350372,113999.63146870211,13337.84439395611,118800.0,118757.13387031466,13203.748435065152,118800.0,13200.0,536415.3609901802,118127.8196505442,326823.3151858046,331551.5353342138,13200.18490284571,118709.3687316032,118077.69149309216,13985.0216411556,19381.083932408867,118460.93049377849,114928.62353153943,13391.46031112853,118800.0,118800.0,118800.0,
10,9815355.169470303,450902.0415194894,8800.0,79200.0,9340.504533518715,1689.073172027237,68389.84394216005,63640.23974834851,118253.68783658395,13796.437030924326,113977.71064612616,13310.79522863347,118800.0,118756.01384936785,13203.78435440833,118800.0,13200.0,538839.2468979699,114872.21219069582,306776.40119083243,351580.9660129596,13200.008531157071,118763.57423471089,117974.55957082001,14095.746070352736,16959.731364980085,118711.10693053191,114653.94974861902,13443.137650383698,118800.0,118800.0,118800.0,
11,9815355.169470303,450852.51934994373,8800.0,79200.0,9282.025497986459,1746.04144121033,68477.44213153904,63895.295451779115,118164.15319150084,13902.19399721915,113967.9794501171,13298.632578941624,118800.0,118755.51738760555,13203.564362751047,118800.0,13200.0,541527.7632706456,111291.88438802547,287986.6769791662,369827.2614970798,13200.0,118785.45189994224,117864.91151269,14212.335030677943,15379.432318822115,118777.2868738623,114450.12126067874,13490.094566086806,118800.0,118800.0,118800.0,
